ID problema,Descrizione,Stato,Gravità,Punti della storia,Percorso progetto,Tipologia di posizione,PERCORSO,Riga,Colonna,ID evento imprevisto,Collegamento alla Guida,Nome dell'assembly,Versione assembly,Chiave pubblica dell'assembly,Frammento
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,AGUtility\AGUtility.csproj,File,AGUtility\AGUtility.csproj,,,Microsoft.AspNetCore.Authorization 9.0.4,,,,,"Microsoft.AspNetCore.Authorization, 9.0.4  Raccomandazione:  Remove Microsoft.AspNetCore.Authorization, and replace with new package Microsoft.AspNetCore.Authorization 10.0.10"
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,AGUtility\AGUtility.csproj,File,AGUtility\AGUtility.csproj,,,Microsoft.AspNetCore.Components 9.0.4,,,,,"Microsoft.AspNetCore.Components, 9.0.4  Raccomandazione:  Remove Microsoft.AspNetCore.Components, and replace with new package Microsoft.AspNetCore.Components 10.0.10"
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,AGUtility\AGUtility.csproj,File,AGUtility\AGUtility.csproj,,,Microsoft.AspNetCore.Components.Forms 9.0.4,,,,,"Microsoft.AspNetCore.Components.Forms, 9.0.4  Raccomandazione:  Remove Microsoft.AspNetCore.Components.Forms, and replace with new package Microsoft.AspNetCore.Components.Forms 10.0.10"
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,AGUtility\AGUtility.csproj,File,AGUtility\AGUtility.csproj,,,Microsoft.AspNetCore.Components.Web 9.0.4,,,,,"Microsoft.AspNetCore.Components.Web, 9.0.4  Raccomandazione:  Remove Microsoft.AspNetCore.Components.Web, and replace with new package Microsoft.AspNetCore.Components.Web 10.0.10"
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,AGUtility\AGUtility.csproj,File,AGUtility\AGUtility.csproj,,,Microsoft.Extensions.Caching.Abstractions 9.0.4,,,,,"Microsoft.Extensions.Caching.Abstractions, 9.0.4  Raccomandazione:  Remove Microsoft.Extensions.Caching.Abstractions, and replace with new package Microsoft.Extensions.Caching.Abstractions 10.0.10"
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,AGUtility\AGUtility.csproj,File,AGUtility\AGUtility.csproj,,,Microsoft.Extensions.Caching.Memory 9.0.4,,,,,"Microsoft.Extensions.Caching.Memory, 9.0.4  Raccomandazione:  Remove Microsoft.Extensions.Caching.Memory, and replace with new package Microsoft.Extensions.Caching.Memory 10.0.10"
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,AGUtility\AGUtility.csproj,File,AGUtility\AGUtility.csproj,,,System.Text.Json 9.0.4,,,,,"System.Text.Json, 9.0.4  Raccomandazione:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.10"
NuGet.0005,Il pacchetto NuGet è deprecato,Active,Optional,1,AGUtility\AGUtility.csproj,File,AGUtility\AGUtility.csproj,,,Microsoft.AspNetCore.Http.Features 5.0.17,,,,,"Microsoft.AspNetCore.Http.Features, 5.0.17  Raccomandazione:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.AspNetCore.Http.Features, and replace with new package Microsoft.AspNetCore.Http.Features, 5.0.17"
Project.0002,È necessario modificare i framework di destinazione del progetto,Active,Mandatory,1,AGUtility\AGUtility.csproj,File,AGUtility\AGUtility.csproj,,,,,,,,Framework di destinazione corrente: net9.0 Framework di destinazione consigliato: net10.0
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,BlazoringComponents\BlazoringComponents.csproj,File,BlazoringComponents\BlazoringComponents.csproj,,,Microsoft.AspNetCore.Components.Web 9.0.4,,,,,"Microsoft.AspNetCore.Components.Web, 9.0.4  Raccomandazione:  Remove Microsoft.AspNetCore.Components.Web, and replace with new package Microsoft.AspNetCore.Components.Web 10.0.10"
