ID|Descrizione|RagSoc|Paese| ANCODICE |ANDESCRI||||
1600284_X|A5 BASIC|STYLER|POLONIA|000031|STYLER G.LITEWKA, S.ROMANIEWSKI SP. J.  ||||
1600303|A5 BASIC|ZEBRA|RUSSIA|000068|"""ZEBRA"" LTD"||||
1600304|A5 BASIC|ZEBRA|RUSSIA|000068|"""ZEBRA"" LTD"||||
1600305|A5 BASIC|STYLER|POLONIA|000031|STYLER G.LITEWKA, S.ROMANIEWSKI SP. J.  ||||
1700445|A5 BASIC|SIA INNOVA|LETTONIA|000208|SIA INNOVA||||
1700447|A5 BASIC|STYLER|POLONIA|000031|STYLER G.LITEWKA, S.ROMANIEWSKI SP. J.  ||||
1800467|A5 BASIC|DONG WOO|KOREA|000019|DONG WOO FRAME||||
1800473|A5 BASIC|MOTTA|ITALIA|000001|BREVETTI MOTTA SRL||||
1800474|A5 BASIC|MOTTA|ITALIA|000001|BREVETTI MOTTA SRL||||
1901017|A5 BASIC|GUANGZHOU JUNSHENG|CINA|000209|GUANGZHOU JUNSHENG IMP.&EXP. TRADING COMPANY LTD||||
1901079|A5 BASIC|MAINLINE|INGHILTERRA|000047|MAINLINE MOULDINGS LTD||||
2001037|A5 BASIC|AL1 SERVICE|FRANCIA| 000005 |AL1 SERVICE MAINTENANCE||||
2001038|A5 BASIC|STETAS|GERMANIA|000208|SIA INNOVA||||
2001039|A5 BASIC|MAIN LINE|INGHILTERRA|000047|MAINLINE MOULDINGS LTD||||
2001040|A5 BASIC|CHRISMATIC|POLONIA|000273|CHRISMATIC KLAUDIA BUCZEK||||
2001047|A5 BASIC|TGS REPAIRS|INGHILTERRA|000060|TGS REPAIRS LLC||||
2001048|A5 BASIC|ROLAND WEIZER|GERMANIA|000030|ROLAND WEITZER INDUSTRIEVERTRETUNG||||
2001050|A5 BASIC|STYLER|POLONIA|000031|STYLER G.LITEWKA, S.ROMANIEWSKI SP. J.||||
2001081|A5 BASIC|UAB GEISTE|LITUANIA|000032|"UAB ""GEISTE"""||||
2001082|A5 BASIC|ENMARKALIA|SPAGNA|000055|ENMARKALIA DECORACION S.L.||||
2001002|A5 BASIC|DONG WOO |KOREA|000019|DONG WOO FRAME||||
21010015|A5 BASIC|DONG WOO |KOREA|000019|DONG WOO FRAME||||
21010020|A5 BASIC|DONG WOO|KOREA|000019|DONG WOO FRAME||||
21010021|A5 BASIC|DONG WOO|KOREA|000019|DONG WOO FRAME||||
21010036|A5 BASIC|ROLAND WEIZER|GERMANIA|000030|ROLAND WEITZER INDUSTRIEVERTRETUNG||||
21010056|A5 BASIC|DONG WOO|KOREA|000019|DONG WOO FRAME||||
21010068|A5 BASIC|DONG WOO|KOREA|000019|DONG WOO FRAME||||
21010069|A5 BASIC||||???||||
1600326|A5|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1700449|A5|DONG WOO|KOREA|000019|DONG WOO FRAME||||
1700450|A5|DONG WOO|KOREA|000019|DONG WOO FRAME||||
1700451|A5|DONG WOO|KOREA|000019|DONG WOO FRAME||||
1700452|A5|DONG WOO|KOREA|000019|DONG WOO FRAME||||
1700466|A5|DONG WOO|KOREA|000019|DONG WOO FRAME||||
1800463|A5|BREVETTI MOTTA|ITALIA|000001|BREVETTI MOTTA SRL||||
1800469|A5|DONG WOO|KOREA|000019|DONG WOO FRAME||||
1800470|A5|DONG WOO|KOREA|000019|DONG WOO FRAME||||
1800471|A5|DONG WOO|KOREA|000019|DONG WOO FRAME||||
1800472|A5|DONG WOO|KOREA|000019|DONG WOO FRAME||||
1500106|A5|CORNICERIA FORLIVESE|ITALIA - FORLI||CLIENTE 184/206 ???||||
1500224|A5|SEA GOD|CINA|000274|SEA-GOD ART(HUIZHOU) LTD.||||
1500225|A5|SEA GOD|CINA|000274|SEA-GOD ART(HUIZHOU) LTD.||||
1500226|A5|SEA GOD|CINA|000274|SEA-GOD ART(HUIZHOU) LTD.||||
1500227|A5|SEA GOD|CINA|000274|SEA-GOD ART(HUIZHOU) LTD.||||
1500228|A5|SEA GOD|CINA|000274|SEA-GOD ART(HUIZHOU) LTD.||||
