ID|Descrizione|RagSoc|Paese|ANCODICE|ANDESCRI
2728|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2729|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2730|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2731|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2732|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2733|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2734|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2735|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2736|JUMBO JOINT AUTOMATICA 2P|MDWOOD|BELGIO|000135|MDWOOD S.P.R.L.
2737|JUMBO JOINT AUTOMATICA 2P|ALSAFIX|FRANCIA|000088|ALSAFIX S.A.R.L.
2738|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2739|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2740|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2741|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2742|JUMBO JOINT AUTOMATICA 2P|CARL WILH|GERMANIA|000234|CARL WILH. MEYER GMBH & CO. KG
2743|JUMBO JOINT AUTOMATICA 2P|CARL WILH|GERMANIA|000234|CARL WILH. MEYER GMBH & CO. KG
2748|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2749|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2750|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2751|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2752|JUMBO JOINT AUTOMATICA 2P|FRAME WORLD|GERMANIA|000144|FRAME WORLD GMBH
2753|JUMBO JOINT AUTOMATICA 2P|A+USA|USA|000006|A-PLUS AUTOMATION USA INC
2754|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2755|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2756|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2757|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2760|JUMBO JOINT AUTOMATICA 2P|CHRISMATIC KLAUDIA|POLONIA|000273|CHRISMATIC KLAUDIA BUCZEK
2761|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2762|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2763|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2764|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2765|JUMBO JOINT AUTOMATICA 2P|BELGINDO|INDONESIA|000271|PT. BELGINDO RAYA
2766|JUMBO JOINT AUTOMATICA 2P|BELGINDO|INDONESIA|000271|PT. BELGINDO RAYA
2767|JUMBO JOINT AUTOMATICA 2P|PRO K|UCRAINA|000197|"""PRO K"" L.T.D."
2772|JUMBO JOINT AUTOMATICA 2P|A+USA|USA|000006|A-PLUS AUTOMATION USA INC
2773|JUMBO JOINT AUTOMATICA 2P|A+USA|USA|000006|A-PLUS AUTOMATION USA INC
2774|JUMBO JOINT AUTOMATICA 2P|A+USA|USA|000006|A-PLUS AUTOMATION USA INC
2775|JUMBO JOINT AUTOMATICA 2P|APA POLSKA|POLONIA|000098|APA POLSKA SP. Z O.O. SPOLKA KOMANDYTOWA
