ID|Descrizione|DimLama|RagSoc|Paese|ANCODICE|ANDESCRI|||
501.07.002|T300 Auto 2 Pinze|300|PG|ITALIA|000037|ENGARDO SRL SOCIO UNICO|||
501.07.003|T300 Auto 2 Pinze|300|DBART|POLONIA|000301|B.D. ART Sp. z o.o. Sp. k.|||
501.07.004|T300 Auto 2 Pinze|300|ENMARKALIA|SPAGNA|000055|ENMARKALIA DECORACION S.L.|||
501.07.005|T300 Auto 2 Pinze|300|DBART|POLONIA|000301|B.D. ART Sp. z o.o. Sp. k.|||
501.07.006|T300 Auto 2 Pinze|300|DBART|POLONIA|000301|B.D. ART Sp. z o.o. Sp. k.|||
501.07.007|T300 Auto 2 Pinze|300|CARO|POLONIA||???|||
501.07.008|T300 Auto 2 Pinze|300|GALLERY1|SVEZIA|000190|GALLERI 1 AB|||
501.08.010|T300 Auto 2 Pinze|300|JOSE|SPAGNA||???|||
501.09.001R|T300Auto V5|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
501.09.009|T300Auto V5|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
501.09.011|T300Auto V5|300|DBART|POLONIA|000301|B.D. ART Sp. z o.o. Sp. k.|||
501.09.012|T300Auto V5|300|PINNACLE|USA|000006|A-PLUS AUTOMATION USA INC|||
501.09.012_?|T300Auto V5|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
501.09.013|T300Auto V5|300|DBART|POLONIA|000301|B.D. ART Sp. z o.o. Sp. k.|||
501.09.014|T300Auto V5|300|DBART|POLONIA|000301|B.D. ART Sp. z o.o. Sp. k.|||
501.10.002R|T300Auto V5|300|GB EYE|INGHILTERRA|000023|GB EYE LTD|||
501.10.015|T300Auto V5|300|LINHE WOOD|CINA||???|||
501.10.015R18|T300Auto V5|300|PG|ITALIA|000037|ENGARDO SRL SOCIO UNICO|||
501.10.016|T300Auto V5|300|LINHE WOOD|CINA||???|||
501.10.016R|T300Auto V5|300|L&J|SPAGNA||???|||
501.10.017|T300Auto V5|300|PINNACLE|USA|000006|A-PLUS AUTOMATION USA INC|||
501.10.018|T300Auto V5|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
501.10.018R19|T300Auto V5|300|ENMARKALIA|SPAGNA|000055|ENMARKALIA DECORACION S.L.|||
501.10.019|T300Auto V5|300|HOBBY LOBBY|USA|000006|A-PLUS AUTOMATION USA INC|||
501.10.020|T300Auto V5|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
501.10.020 R18|T300Auto V5|300|PG|ITALIA|000037|ENGARDO SRL SOCIO UNICO|||
501.10.021|T300Auto V5|300|ULTIMAT|INGHILTERRA|000034|ULTIMAT LTD|||
501.10.022|T300Auto V5|300|FIERA  CINA|CINA||???|||
501.10.023|T300Auto V5|300|HAMA|REP CECA|000071|HAMA SPOL. s.r.o.|||
501.10.024|T300Auto V5|300|UMBRA|CINA||???|||
501.11.025|T300Auto V5|300|LS|CINA||???|||
501.11.026|T300Auto V5|300|LS|CINA||???|||
501.11.027|T300Auto V5|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
501.11.028|T300Auto V5|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
501.11.029|T300Auto V5|300|HOBBY LOBBY|USA|000006|A-PLUS AUTOMATION USA INC|||
501.11.030|T300Auto V5|300|HOBBY LOBBY|USA|000006|A-PLUS AUTOMATION USA INC|||
501.11.031|T300Auto V5|300|PHOTO CREATE|AUSTRALIA|000089|PHOTO CREATE|||
501.11.032|T300Auto V5|300|PHOTOCREATE|AUSTRALIA|000089|PHOTO CREATE|||
501.11.033|T300Auto V5|300|PINNACLE|USA|000006|A-PLUS AUTOMATION USA INC|||
501.11.034|T300Auto V5|300|PINNACLE|USA|000006|A-PLUS AUTOMATION USA INC|||
501.11.035|T300Auto V5|300|PINNACLE|USA|000006|A-PLUS AUTOMATION USA INC|||
501.11.036|T300Auto V5|300|PINNACLE|USA|000006|A-PLUS AUTOMATION USA INC|||
501.11.037|T300Auto V5|300|BUILD A SIGN|USA|000006|A-PLUS AUTOMATION USA INC|||
501.11.038|T300Auto V5|300|HOBBY LOBBY|USA|000006|A-PLUS AUTOMATION USA INC|||
501.12.040|T300Auto V5|300|STYLER|POLONIA|000031|STYLER G.LITEWKA, S.ROMANIEWSKI SP. J.|||
501.12.040R15|T300Auto V5|300|EP SOLVO LEMPERT|POLONIA|000205|EP SOLVO SPOLKA Z OGRANICZONA|||
501.12.041|T300Auto V5|300|AMP|USA|000246|THE FLETCHER-TERRY CO.LTD|||
501.12.042|T300Auto V5|300|PMI|AUSTRALIA||???|||
501.12.044|T300Auto V5|300|PINNACLE|USA|000006|A-PLUS AUTOMATION USA INC|||
501.12.045|T300Auto V5|300|PINNACLE|USA|000006|A-PLUS AUTOMATION USA INC|||
501.12.046|T300Auto V5|300|PINNACLE|USA|000006|A-PLUS AUTOMATION USA INC|||
501.12.050|T300Auto V5|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
501.12.051|T300Auto V5|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
501.12.052|T300Auto V5|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
501.07.007R14|T300Auto V6 Pneu.|300||||???|||
501.12.043|T300Auto V6 Pneu.|300|PINNACLE|USA|000006|A-PLUS AUTOMATION USA INC|||
501.12.047|T300Auto V6 Pneu.|300|INTCO|HONG KONG|000279|INTCO INTERNATIONAL (HK) CO., LIMITED|||
501.12.048|T300Auto V6 Pneu.|300|INTCO|HONG KONG|000279|INTCO INTERNATIONAL (HK) CO., LIMITED|||
501.12.049|T300Auto V6 Pneu.|300|ARTKO|INGHILTERRA|000081|ARTKO LTD|||
501.12.054|T300Auto V6 Pneu.|300|AMP|USA|000246|THE FLETCHER-TERRY CO.LTD|||
501.19.027R19|T300Auto|300|ENMARKALIA|SPAGNA|000055|ENMARKALIA DECORACION S.L.|||
501.19.028R19|T300Auto|300|JAVIER HERRANZ S.L.|SPAGNA|000043|JAVIER HERRANZ S.L.|||
506.21.191|T300Auto V6 Pneu.|300|MUGHAL|INGHILTERRA|000309|MUGHAL PHOTO FRAMES LTD|||
506.21.192|T300Auto V6 Pneu.|300|LUPIA|ITA||???|||
506.21.194|T300Auto V6 Pneu.|300|PROART|GERMANIA|000030|ROLAND WEITZER INDUSTRIEVERTRETUNG|||
506.21.195|T300Auto V6 Pneu.|300|PROART|GERMANIA|000030|ROLAND WEITZER INDUSTRIEVERTRETUNG|||
506.21.197|T300Auto V6 Pneu.|300|FUDMAN|POLONIA|000063|MAC SP. Z O.O.|||
506.21.198|T300Auto V6 Pneu.|300|FUDMAN|POLONIA|000063|MAC SP. Z O.O.|||
506.16.113|T350Auto V6 Pneu.|350|SCM|UZBEKISTAN|000090|"JV ""BINKET GROUP"" LLC"|||
506.17.139|T350Auto V6 Pneu.|300|BINKET|UZBEKISTAN|000090|"JV ""BINKET GROUP"" LLC"|||
506.12.053|T350Auto V6 Mot.|300|PT ASTARI NIAGARA|INDONESIA|000049|PT ASTARI NIAGARA|||
506.12.054|T350Auto V6 Mot.|300|PT ASTARI NIAGARA|INDONESIA|000049|PT ASTARI NIAGARA|||
506.12.055|T350Auto V6 Mot.|300|NEW ERA PUBBLISHING|USA||???|||
506.12.056|T350Auto V6 Mot.|300|BUILD A SIGN|USA|000006|A-PLUS AUTOMATION USA INC|||
506.13.057|T350Auto V6 Mot.|300|TOM MORGAN|INGHILTERRA|000164|TOM MORGAN PICTURE (MANUFACTURING) LTD|||
506.13.058|T350Auto V6 Mot.|300||||???|||
506.13.061|T350Auto V6 Mot.|300|BUILD A SIGN|USA|000006|A-PLUS AUTOMATION USA INC|||
506.13.062|T350Auto V6 Mot.|300|SHENZHEN LINHE|CINA||???|||
506.13.063|T350Auto V6 Mot.|300|SHENZHEN LINHE|CINA||???|||
506.13.064|T350Auto V6 Mot.|300|ELION|RUSSIA||???|||
506.13.064R18|T350Auto V6 Mot.|350|ART BLOC|INGHILTERRA|000042|ARTBLOC COMPANY LTD|||
506.16.110|T350Auto V6 Mot.|350|ORSI|ITALIA|000125|ORSI CORNICI SRL|||
506.16.111|T350Auto V6 Mot.|350|FUDMAN|POLONIA|000063|MAC SP. Z O.O.|||
501.12.039|T300Auto V6 Mot.|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.13.059|T300Auto V6 Mot.|300|QUINGDAO SHOUSHENG|CINA|000061|QINGDAO SHOUSHENG INDUSTRY CO., LTD|||
506.13.060|T300Auto V6 Mot.|300|QUINGDAO SHOUSHENG|CINA|000061|QINGDAO SHOUSHENG INDUSTRY CO., LTD|||
506.13.065|T300Auto V6 Mot.|300|CEANOTHE|FRANCIA|000012|CEANOTHE HOLDING|||
506.13.066|T300Auto V6 Mot.|300|CEANOTHE|FRANCIA|000012|CEANOTHE HOLDING|||
506.13.067|T300Auto V6 Mot.|300|QUINGDAO SHOUSHENG|CINA|000061|QINGDAO SHOUSHENG INDUSTRY CO., LTD|||
506.13.068|T300Auto V6 Mot.|300|QUINGDAO SHOUSHENG|CINA|000061|QINGDAO SHOUSHENG INDUSTRY CO., LTD|||
506.13.069|T300Auto V6 Mot.|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.13.070|T300Auto V6 Mot.|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.13.071|T300Auto V6 Mot.|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.13.072|T300Auto V6 Mot.|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.13.073|T300Auto V6 Mot.|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.13.074|T300Auto V6 Mot.|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.13.075|T300Auto V6 Mot.|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.13.076|T300AutoV6 PinzaE Pneum|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.13.077|T300AutoV6 PinzaE Pneum|300|AMP|USA|000246|THE FLETCHER-TERRY CO.LTD|||
506.14.078|T300AutoV6 PinzaE Pneum|300|SEA GOD|CINA|000274|SEA-GOD ART(HUIZHOU) LTD.|||
506.14.079|T300AutoV6 PinzaE Pneum|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.18.155|T300AutoV6 PinzaE Pneum|350|INTCO|CINA|000279|INTCO INTERNATIONAL (HK) CO., LIMITED|||
506.14.087|506 T300AutoV6 PinzaE Motor|300|GB EYE|INGHILTERRA|000023|GB EYE LTD|||
506.14.088|506 T300AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.14.089|506 T300AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.14.090|506 T300AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.14.091|506 T300AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.14.092|506 T300AutoV6 PinzaE Motor|350|STYLER|POLONIA|000031|STYLER G.LITEWKA, S.ROMANIEWSKI SP. J.|||
506.14.093|506 T300AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.15.094|506 T300AutoV6 PinzaE Motor|0|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.15.095|506 T300AutoV6 PinzaE Motor|0|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.15.096|506 T300AutoV6 PinzaE Motor|300|ARTISTREE|USA|000006|A-PLUS AUTOMATION USA INC|||
506.15.097|506 T300AutoV6 PinzaE Motor|300|ARTISTREE|USA|000006|A-PLUS AUTOMATION USA INC|||
506.15.098|506 T300AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.15.099|506 T300AutoV6 PinzaE Motor|0|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.15.100|506 T300AutoV6 PinzaE Motor|0|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.15.101|506 T300AutoV6 PinzaE Motor|0|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.15.102|506 T300AutoV6 PinzaE Motor|0|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.15.103|506 T300AutoV6 PinzaE Motor|0|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.15.104|506 T300AutoV6 PinzaE Motor|0|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.15.105|506 T300AutoV6 PinzaE Motor|0|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.15.106|506 T300AutoV6 PinzaE Motor|0|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.15.107|506 T300AutoV6 PinzaE Motor|0|BUILD A SIGN|USA|000006|A-PLUS AUTOMATION USA INC|||
506.15.108|506 T300AutoV6 PinzaE Motor|0|ALFAMACCHINE|ITALIA||???|||
506.15.109|506 T300AutoV6 PinzaE Motor|0|ERKADO|POLONIA||???|||
506.16.112|506 T300AutoV6 PinzaE Motor|350|EP SOLVO LEMPERT|POLONIA|000205|EP SOLVO SPOLKA Z OGRANICZONA|||
506.16.115|506 T300AutoV6 PinzaE Motor|350|ART TO FRAME|USA|000006|A-PLUS AUTOMATION USA INC|||
506.17.136|506 T300AutoV6 PinzaE Motor|300|ART TO FRAME|USA|000006|A-PLUS AUTOMATION USA INC|||
506.18.137|T300Auto||PADMA SP|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.18.138|T350Auto||INTCO|HONG KONG|000279|INTCO INTERNATIONAL (HK) CO., LIMITED|||
506.18.139|T300Auto||CANIMWELL|CANADA|000011|CANIMWELL MANAGEMENT L.P.|||
506.18.140|506 T300AutoV6 PinzaE Motor|0|PADMA SP|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.18.141|506 T300AutoV6 PinzaE Motor|0|PADMA SP|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.18.142|506 T300AutoV6 PinzaE Motor|0|PADMA SP|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.18.143|506 T300AutoV6 PinzaE Motor|300|PADMA SP|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.18.144|506 T300AutoV6 PinzaE Motor|0|PADMA SP|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.18.145|506 T300AutoV6 PinzaE Motor|0|PADMA SP|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.18.146|506 T300AutoV6 PinzaE Motor|300|BUILD A SIGN|USA|000006|A-PLUS AUTOMATION USA INC|||
506.18.147|506 T300AutoV6 PinzaE Motor|300|PADMA SP|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.18.148|506 T300AutoV6 PinzaE Motor|300|PADMA SP|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.18.149|506 T300AutoV6 PinzaE Motor|300|PADMA SP|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.18.150|506 T300AutoV6 PinzaE Motor|350|PADMA SP|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.18.151|506 T300AutoV6 PinzaE Motor|350|FUDMAN|POLONIA|000063|MAC SP. Z O.O.|imac|283???|
506.18.152|506 T300AutoV6 PinzaE Motor|350|FUDMAN|POLONIA|000063|MAC SP. Z O.O.|imac||
506.18.153|506 T300AutoV6 PinzaE Motor|0|PADMA SP|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.18.154|506 T300AutoV6 PinzaE Motor|0|PADMA SP|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.18.155|T350Auto||INTCO|HONG KONG|000279|INTCO INTERNATIONAL (HK) CO., LIMITED|||
506.18.156|506 T300AutoV6 PinzaE Motor|350|ART TO FRAME|USA|000006|A-PLUS AUTOMATION USA INC|||
506.18.157|506 T300AutoV6 PinzaE Motor|300|ART.COM|USA|000006|A-PLUS AUTOMATION USA INC|||
506.18.158|506 T300AutoV6 PinzaE Motor|300|PADMA SP|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.19.149|T300Auto||PADMA ART |POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.19.158|T300Auto||PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.19.159|T350Auto||SYSTEMAIR A/S|DANIMARCA|000051|SYSTEMAIR A/S|||
506.19.160|506 T300AutoV6 PinzaE Motor|300|FUDMAN|POLONIA|000063|MAC SP. Z O.O.|imac||
506.19.161|506 T300AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.19.162|506 T300AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.19.163|506 T300AutoV6 PinzaE Motor|300|PIXXPRINT|GERMANIA|000244|PIXXPRINT GMBH|||
520.19.164|T300 AUTO SB||PADMA SP|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.19.165|506 T300AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.19.166|506 T300AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.19.167|506 T300AutoV6 PinzaE Motor|300|HOBBY LOBBY|USA|000006|A-PLUS AUTOMATION USA INC|||
506.19.168|506 T300AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.19.169|T300 AUTOMATICA||PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.20.170|506 T300AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.20.171|506 T300AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.20.172|506 T300AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.20.173|506 T300AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.20.174|506 T300AutoV6 PinzaE Motor|300|STYLER|POLONIA|000031|STYLER G.LITEWKA, S.ROMANIEWSKI SP. J.|||
506.20.175|T300Auto||ZEBRA-TRADE|UNGHERIA|000179|ZEBRA-TRADE KERESKEDELMI ES SZOLGALTATO KFT.|||
506.20.176|T300Auto||A+USA|USA|000006|CINCH KIT LLC|||
506.20.177|T300Auto||PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.20.178|T300Auto||MAVANTI|BASESI BASSI|000278|MAVANTI B.V.|||
506.20.179|506 T300AutoV6 PinzaE Motor|300|BUILD A SIGN|USA|000006|A-PLUS AUTOMATION USA INC|||
506.20.180|506 T300AutoV6 PinzaE Motor|300|FUDMAN|POLONIA|000063|MAC SP. Z O.O.|IMAC||
506.20.181|506 T300AutoV6 PinzaE Motor|300|SMALLWOOD|USA|000006|A-PLUS AUTOMATION USA INC|||
